student_id,study_hours,attendance,assignment_score,midterm_score,sleep_hours,participation_score,cgpa
STU1058,17.0,71.7,80.5,82.0,5.0,7.8,2.88
STU1059,7.5,69.6,77.3,82.5,6.2,9.2,2.23
STU1060,14.9,73.1,80.9,70.1,5.7,9.3,2.81
STU1061,4.3,81.3,74.3,66.9,5.4,6.8,2.5
STU1062,9.7,85.3,92.0,73.8,8.5,6.1,2.79
STU1063,11.7,82.5,71.0,61.4,7.1,8.9,3.31
STU1064,13.3,74.3,88.5,57.1,7.2,9.7,2.86
STU1065,13.8,91.0,68.9,59.8,6.5,8.5,3.02
STU1066,14.2,89.4,75.3,63.7,6.6,3.9,3.05
STU1067,9.6,80.4,64.2,56.9,7.8,6.4,2.61
STU1068,9.2,75.5,81.0,74.1,6.8,7.0,2.65
STU1069,14.4,87.5,91.9,81.5,7.3,2.0,3.52
STU1070,10.2,83.9,75.1,51.4,6.6,7.0,2.53
STU1071,5.9,67.5,73.8,72.3,6.5,10.0,2.38
STU1072,6.5,81.3,63.7,69.1,5.4,7.4,2.43
STU1073,7.3,84.6,73.5,76.4,4.8,9.2,2.24
STU1074,13.0,73.0,58.5,71.8,6.5,6.4,2.83
STU1075,11.6,83.9,66.0,53.1,6.9,5.8,3.01
STU1076,13.8,67.5,78.5,55.6,5.5,6.8,2.45
STU1077,9.3,95.4,90.5,72.4,6.8,4.2,2.91
STU1078,11.6,94.5,100.0,85.4,6.9,3.9,2.77
STU1079,13.5,79.5,69.5,43.2,4.6,8.8,2.51
STU1080,9.8,85.6,91.8,76.5,5.9,9.0,3.03
STU1081,12.8,57.9,78.7,87.5,7.2,3.8,2.38
STU1082,8.4,70.4,74.3,70.0,7.2,8.1,2.18
STU1083,9.5,79.1,80.8,79.2,5.6,5.8,2.66
STU1084,9.5,71.3,76.7,62.9,7.0,6.7,2.36
STU1085,6.2,89.1,77.2,70.4,7.8,7.0,2.48
STU1086,12.9,100.0,71.5,50.9,7.6,8.2,3.31
STU1087,9.1,70.2,60.6,41.5,6.7,6.2,2.08
STU1088,11.0,73.6,59.0,84.3,6.3,9.1,2.44
STU1089,12.9,84.4,83.2,59.2,6.2,6.7,2.94
STU1090,12.8,98.1,73.0,66.1,7.3,7.4,3.36
STU1091,13.7,69.8,69.4,54.0,7.0,4.2,2.88
STU1092,10.6,84.5,76.1,53.7,7.4,10.0,2.65
STU1093,9.3,100.0,84.7,69.7,6.9,7.0,3.2
STU1094,10.7,65.5,78.0,62.5,7.6,7.6,2.28
STU1095,4.3,69.2,68.8,76.9,6.9,2.5,2.41
STU1096,5.2,77.8,89.5,77.9,7.6,4.2,2.11
STU1097,5.7,76.8,93.4,76.2,7.7,8.7,2.67
STU1098,7.0,90.1,81.4,75.1,6.0,6.6,2.53
STU1099,12.6,84.4,86.7,92.5,5.0,1.8,3.29
STU1100,7.4,64.3,89.7,58.1,8.3,8.3,2.33
STU1101,9.5,87.2,88.4,71.3,7.1,4.8,2.58
STU1102,16.2,76.2,82.8,86.7,5.1,9.1,2.94
STU1103,9.6,94.7,82.6,88.4,6.1,5.8,3.1
STU1104,14.0,75.7,81.7,53.5,7.6,6.5,3.02
STU1105,7.3,75.6,63.9,67.9,6.5,8.6,2.37
STU1106,10.2,87.4,83.7,89.7,6.3,4.0,2.85
STU1107,7.2,89.6,61.1,78.6,8.2,3.8,2.72
STU1108,9.6,86.5,67.3,74.5,5.8,5.6,2.73
STU1109,14.4,65.1,90.3,69.2,6.0,7.8,2.46
STU1110,4.1,87.4,85.2,67.0,7.0,3.1,2.24
STU1111,12.7,71.7,92.4,75.7,7.2,2.3,2.75
STU1112,12.0,84.4,73.0,68.7,7.3,7.8,3.11
STU1113,8.6,67.8,63.3,71.4,7.7,4.7,2.61
STU1114,5.2,86.5,73.4,73.0,7.0,5.1,2.62
STU1115,11.3,73.9,77.1,63.2,7.3,1.9,2.63
STU1116,8.9,69.2,76.9,78.9,6.5,4.5,2.54
STU1117,11.9,89.1,88.5,100.0,6.9,6.0,2.93
STU1118,11.1,84.4,72.0,48.9,6.9,8.0,2.74
STU1119,17.4,75.9,79.9,76.2,7.0,4.3,2.91
STU1120,10.0,96.5,65.1,62.1,7.6,9.6,2.69
STU1121,6.9,77.6,81.0,79.5,7.4,4.5,2.5
STU1122,11.7,82.3,76.0,72.6,6.8,4.5,2.84
STU1123,11.9,84.7,67.8,81.9,6.0,9.4,3.02
STU1124,16.4,75.8,73.4,87.3,6.9,6.5,3.15
STU1125,14.3,86.7,74.0,74.5,6.8,4.8,3.1
STU1126,12.4,76.7,73.0,86.7,7.0,5.7,2.9
STU1127,16.9,77.9,95.5,41.5,9.0,9.0,3.03
STU1128,6.2,95.6,74.9,92.7,6.3,9.2,2.86
STU1129,8.4,71.6,73.3,76.9,7.2,4.2,2.25
STU1130,7.3,57.9,52.9,86.0,7.9,5.9,2.11
STU1131,9.4,98.1,66.2,56.1,6.9,6.2,3.02
STU1132,5.5,100.0,73.1,61.2,9.0,3.8,2.48
STU1133,13.5,77.9,68.5,73.9,6.4,5.9,2.84
STU1134,10.1,62.6,91.2,71.8,7.1,6.0,2.28
STU1135,5.1,78.9,74.2,75.7,6.0,8.5,2.23
STU1136,6.9,79.1,90.2,86.1,6.4,8.7,2.32
STU1137,12.3,80.1,76.7,49.1,7.0,5.3,3.01
STU1138,14.4,70.9,76.4,84.7,7.6,5.5,3.01
STU1139,19.0,87.8,75.0,72.1,7.1,7.5,3.51
STU1140,22.7,87.2,76.0,69.4,8.1,4.7,3.96
STU1141,12.7,67.1,94.9,52.9,6.7,7.3,2.59
STU1142,7.0,89.0,50.5,78.5,6.5,5.8,3.17
STU1143,2.5,100.0,54.0,40.6,9.0,3.9,2.27
STU1144,12.1,83.7,70.0,80.4,7.2,3.9,2.89
STU1145,7.7,78.6,76.2,52.6,6.1,9.2,2.38
STU1146,9.3,80.6,83.6,72.7,6.1,5.7,2.71
STU1147,8.6,88.2,81.2,70.5,5.9,9.6,2.91
STU1148,10.4,64.7,71.8,87.2,7.7,4.9,2.39
STU1149,15.3,83.6,87.2,69.7,6.4,6.6,3.45
STU1150,11.6,78.1,87.3,63.0,6.9,10.0,2.85
STU1151,10.4,100.0,78.0,65.4,6.7,3.7,3.06
STU1152,6.9,80.3,86.6,88.5,7.5,1.8,2.3
STU1153,4.3,98.7,79.0,79.0,6.0,8.8,2.75
STU1154,9.1,71.0,69.8,67.0,5.7,4.2,2.33
STU1155,10.8,87.9,83.7,68.9,7.0,6.0,2.76
STU1156,18.1,85.2,77.2,51.6,7.4,4.7,3.06
STU1157,11.5,73.3,76.0,77.1,7.1,6.6,3.2
STU1158,14.9,83.8,92.2,49.1,6.0,3.9,2.94
STU1159,9.0,94.1,49.0,81.8,7.5,5.6,2.49
STU1160,6.3,78.8,60.4,73.7,6.1,7.0,2.21
STU1161,7.1,65.1,62.9,100.0,6.3,3.8,2.19
STU1162,8.1,81.8,72.0,57.7,5.9,4.5,2.59
STU1163,19.5,73.0,73.2,70.7,8.1,5.2,3.22
STU1164,7.7,78.6,59.4,95.4,7.4,2.9,2.59
STU1165,14.4,81.2,65.2,87.5,7.4,5.1,2.83
STU1166,7.4,64.9,66.5,62.9,8.0,6.3,2.22
STU1167,14.7,65.8,100.0,74.9,9.0,5.1,2.56
STU1168,12.5,86.8,95.8,72.0,5.1,5.4,2.83
STU1169,10.4,76.8,71.5,75.7,6.1,6.0,2.42
STU1170,10.8,56.4,72.0,62.9,6.2,4.6,1.98
STU1171,8.4,89.8,63.4,70.8,5.9,7.5,2.9
STU1172,12.8,84.7,55.0,51.2,5.7,9.2,2.96
STU1173,9.2,74.9,74.7,73.8,6.5,5.0,2.69
STU1174,6.1,68.8,65.0,77.9,5.6,7.1,2.18
STU1175,5.9,90.4,75.1,69.0,7.1,5.5,2.72
STU1176,11.7,85.5,58.4,51.0,6.9,6.8,2.43
STU1177,17.3,100.0,67.6,84.9,7.3,9.4,3.72
STU1178,11.6,86.2,77.6,76.7,7.3,7.1,2.94
STU1179,10.5,85.9,80.0,62.6,7.4,2.1,2.86
STU1180,12.1,80.3,80.6,68.4,6.4,7.0,2.89
STU1181,16.2,90.2,61.5,52.5,8.9,8.7,2.94
STU1182,11.9,88.3,85.4,58.7,7.0,5.5,2.63
STU1183,9.4,94.5,67.2,65.0,4.9,8.2,2.67
STU1184,15.4,76.8,83.0,88.0,5.8,4.5,3.08
STU1185,12.7,77.6,75.9,63.7,5.1,2.7,2.82
STU1186,17.1,77.2,60.9,80.3,6.8,6.3,2.78
STU1187,11.7,89.9,72.5,65.0,6.7,2.1,2.68
STU1188,6.1,97.0,80.0,75.2,6.3,5.5,2.57
STU1189,5.5,77.4,82.7,70.2,8.8,8.8,2.26
STU1190,17.6,77.8,74.4,83.3,7.3,1.8,2.81
STU1191,17.9,85.1,92.8,65.0,7.5,3.2,2.97
STU1192,10.3,79.5,87.1,51.6,5.9,3.7,2.44
STU1193,9.5,91.5,73.2,54.0,5.8,5.9,2.77
STU1194,16.8,59.5,84.3,65.1,6.8,5.2,2.5
STU1195,6.6,73.7,97.3,55.8,7.0,9.1,2.37
STU1196,7.4,74.2,97.6,77.3,4.9,8.1,2.65
STU1197,13.6,58.8,62.5,65.9,6.6,7.1,2.21
STU1198,9.4,72.4,65.8,100.0,6.8,6.3,2.49
STU1199,11.0,72.8,92.3,49.4,6.6,6.9,2.8
STU1200,10.3,80.0,64.4,74.6,6.0,4.1,2.53
STU1201,12.4,93.1,61.5,57.3,6.3,7.9,2.86
STU1202,16.6,79.5,70.7,65.6,6.6,3.6,3.25
STU1203,11.4,71.7,80.6,73.8,6.9,7.8,2.59
STU1204,13.6,81.4,74.9,41.8,7.4,8.6,3.09
STU1205,2.8,92.5,68.8,75.1,7.9,6.5,2.48
STU1206,10.8,72.2,68.6,96.7,6.5,5.6,2.53
STU1207,7.6,72.9,68.2,66.1,6.3,6.9,2.44
STU1208,6.1,87.6,66.3,75.4,7.2,0.0,2.52
STU1209,7.5,79.8,100.0,85.3,7.4,6.7,2.81
STU1210,9.7,88.5,79.3,69.9,6.4,5.8,2.67
STU1211,14.7,81.9,85.8,64.4,7.6,5.9,3.01
STU1212,5.7,89.0,70.6,42.4,7.8,7.6,2.45
STU1213,11.1,71.6,74.0,80.3,8.1,5.8,2.71
STU1214,9.1,81.9,68.2,70.5,8.6,3.5,2.33
STU1215,9.7,79.9,46.8,58.8,5.9,5.7,2.7
STU1216,15.0,69.8,60.8,73.6,6.8,6.1,2.86
STU1217,13.2,66.4,56.1,64.4,6.8,6.3,2.28
STU1218,16.3,88.9,51.3,65.1,6.7,6.4,3.39
STU1219,10.4,78.5,62.9,79.9,6.2,8.3,3.1
STU1220,8.2,71.8,90.6,54.6,5.3,3.6,2.53
STU1221,10.1,81.0,75.5,85.6,6.9,6.4,3.01
STU1222,12.0,93.3,90.2,53.8,6.0,8.8,3.06
STU1223,11.7,59.2,80.5,63.4,6.9,2.2,2.02
STU1224,6.7,67.0,84.6,97.0,6.0,6.4,1.91
STU1225,11.4,72.8,66.1,86.7,5.7,4.7,2.63
STU1226,11.9,96.6,81.8,73.3,7.0,5.2,2.98
STU1227,21.1,84.8,84.0,59.8,7.0,4.0,3.26
STU1228,18.5,89.7,69.7,65.1,7.4,5.6,3.33
STU1229,7.6,70.6,82.2,73.0,9.0,10.0,2.48
STU1230,9.9,70.8,82.2,72.5,7.1,3.2,2.19
STU1231,5.1,86.5,70.0,70.8,7.3,3.4,2.32
STU1232,8.6,82.6,63.6,71.6,5.7,3.1,2.82
STU1233,12.3,87.5,63.0,69.2,5.5,9.8,2.69
STU1234,15.8,80.1,77.0,53.3,8.4,5.0,3.13
STU1235,8.1,84.8,79.6,65.3,5.9,5.9,2.49
STU1236,8.4,83.6,67.3,83.9,5.8,5.1,2.69
STU1237,2.4,89.8,76.3,54.2,6.8,3.9,2.5
STU1238,10.3,90.1,82.3,69.5,6.7,5.5,3.02
STU1239,6.8,65.8,82.8,61.3,5.9,10.0,2.39
STU1240,8.9,59.5,93.1,73.4,6.5,9.1,2.07
STU1241,7.5,92.0,90.0,66.9,8.0,4.1,2.92
STU1242,10.6,93.9,65.0,91.2,6.0,7.4,2.79
STU1243,4.0,71.8,94.5,78.6,5.4,4.2,2.18
STU1244,5.1,63.4,70.2,54.9,7.7,2.1,1.98
STU1245,19.5,83.0,87.5,80.7,7.3,8.2,3.51
STU1246,5.9,91.3,76.7,61.9,6.2,8.6,2.65
STU1247,6.6,100.0,71.5,64.5,5.2,8.3,2.58
STU1248,18.3,87.2,56.1,76.1,6.1,5.0,2.98
STU1249,22.6,78.3,74.1,65.6,6.7,5.6,3.6
STU1250,6.3,73.1,58.8,83.6,8.0,7.6,2.31
STU1251,9.5,82.1,86.6,61.9,5.8,6.9,2.89
STU1252,12.4,79.0,92.7,64.0,6.7,5.1,2.81
STU1253,17.9,71.8,67.2,63.5,7.5,2.4,2.65
STU1254,7.1,100.0,79.3,64.6,4.4,6.3,2.95
STU1255,10.0,99.9,68.0,86.3,7.8,8.4,2.97
STU1256,14.1,93.4,69.1,80.2,5.6,3.4,3.17
STU1257,12.7,72.8,84.5,94.2,7.1,7.4,2.68
STU1258,9.5,90.6,75.6,100.0,7.0,6.7,3.23
STU1259,10.5,88.4,95.1,58.6,7.9,7.7,2.69
STU1260,5.5,86.4,70.7,72.9,7.4,7.9,2.42
STU1261,10.0,94.5,87.0,56.7,4.4,4.5,2.85
STU1262,9.9,88.4,77.1,61.9,6.0,2.4,2.5
STU1263,11.9,89.4,84.8,63.8,6.9,4.8,3.02
STU1264,8.8,88.4,71.1,58.3,6.6,8.0,3.03
STU1265,12.9,85.4,75.5,58.3,7.3,4.8,2.8
STU1266,15.1,64.2,74.7,70.1,7.6,4.5,2.75
STU1267,11.6,82.8,66.8,56.2,7.4,2.0,2.15
STU1268,12.4,76.4,83.3,82.9,6.6,9.9,2.84
STU1269,11.2,69.2,83.2,60.1,5.0,7.8,2.44
STU1270,11.0,98.8,82.5,100.0,6.3,7.7,3.0
STU1271,8.1,99.3,92.9,66.1,7.2,8.1,3.17
STU1272,12.3,95.6,91.9,72.9,5.7,7.3,3.06
STU1273,10.6,84.6,71.9,55.2,7.4,5.5,2.68
STU1274,19.4,95.5,80.1,94.2,7.7,5.6,3.53
STU1275,17.3,82.1,69.1,86.6,6.9,5.1,2.8
STU1276,12.5,84.0,76.3,75.9,4.0,10.0,2.65
STU1277,7.9,71.1,69.4,54.5,5.5,7.2,2.47
STU1278,6.6,86.0,93.8,74.7,8.7,5.0,2.13
STU1279,15.8,82.6,80.0,57.4,6.3,7.0,2.9
STU1280,12.1,69.0,73.6,91.0,4.8,3.8,2.47
STU1281,12.9,81.5,89.1,82.5,8.0,9.3,3.31
STU1282,4.0,81.2,52.1,73.2,6.8,4.5,2.37
STU1283,14.7,100.0,53.8,40.3,7.9,7.1,3.06
STU1284,12.8,90.9,84.8,59.2,7.1,8.3,3.33
STU1285,6.6,82.1,76.7,80.9,7.3,6.8,2.36
STU1286,9.1,84.5,78.8,87.8,7.2,6.2,2.94
STU1287,12.1,82.4,61.4,86.4,7.5,6.0,2.55
STU1288,11.2,80.0,75.7,51.3,9.0,5.9,2.85
STU1289,9.8,71.2,98.0,75.9,7.8,4.7,2.46
STU1290,10.6,80.5,85.1,85.2,5.2,5.0,2.51
STU1291,10.0,74.5,77.9,50.4,7.2,9.3,2.51
STU1292,11.6,69.5,71.2,71.9,7.9,5.8,2.6
STU1293,16.9,87.1,71.7,75.6,8.0,4.3,3.09
STU1294,2.0,85.9,52.6,68.1,6.4,4.9,2.25
STU1295,10.1,64.1,78.8,47.9,8.0,8.4,2.22
STU1296,11.7,80.8,85.3,67.8,7.7,7.5,2.93
STU1297,12.2,92.0,58.7,67.7,9.0,7.2,3.01
STU1298,9.5,92.6,68.7,70.1,6.0,5.4,2.79
STU1299,4.0,92.3,63.3,64.7,6.3,7.3,2.35
STU1300,12.3,82.4,65.4,66.2,6.5,4.6,2.82
STU1301,17.9,73.5,76.6,71.5,6.3,5.4,3.15
STU1302,4.9,71.2,53.1,77.8,5.9,8.1,2.53
STU1303,14.5,85.4,82.8,68.0,4.0,7.9,3.19
STU1304,9.7,85.8,84.3,66.7,6.4,3.8,2.92
STU1305,10.8,94.9,73.2,73.2,7.2,4.1,3.57
STU1306,6.8,93.0,48.7,47.0,6.3,6.2,2.64
STU1307,9.7,80.7,65.0,78.2,8.7,9.8,2.73
STU1308,16.2,69.6,89.6,72.0,6.8,1.8,3.01
STU1309,13.3,78.8,45.4,72.5,8.1,6.6,2.55
STU1310,17.9,84.2,72.2,84.5,7.1,3.0,3.15
STU1311,15.7,80.0,63.0,46.6,7.6,4.6,2.8
STU1312,12.8,76.2,84.9,46.3,7.1,5.2,2.86
STU1313,18.0,84.5,68.6,75.6,8.2,5.1,3.18
STU1314,12.8,77.0,80.4,71.9,6.9,4.8,2.82
STU1315,14.3,75.7,82.2,74.2,7.3,6.0,3.11
STU1316,9.8,85.1,96.2,66.0,7.2,4.8,2.95
STU1317,11.3,78.0,73.8,80.6,6.5,2.8,2.65
STU1318,8.2,84.4,80.1,84.1,7.2,7.7,2.56
STU1319,15.0,84.7,59.7,78.3,9.0,7.7,3.23
STU1320,6.3,70.6,89.1,68.6,6.5,7.9,2.45
STU1321,14.1,77.2,67.6,44.6,7.2,2.6,2.43
STU1322,10.2,96.4,69.8,82.0,8.1,6.7,2.9
STU1323,15.7,70.4,75.8,87.9,7.9,7.5,2.93
STU1324,14.0,60.8,58.8,80.4,6.8,3.7,2.68
STU1325,18.3,63.4,78.5,60.6,4.4,6.0,2.99
STU1326,13.9,82.3,86.6,80.8,7.3,5.7,3.06
STU1327,4.7,82.3,79.2,83.2,4.6,10.0,2.5
STU1328,10.7,80.8,58.5,92.3,8.3,10.0,2.75
STU1329,6.3,94.1,74.6,60.6,7.0,2.3,2.47
STU1330,8.9,55.3,84.2,69.1,7.8,10.0,2.14
STU1331,17.0,86.0,55.3,81.7,5.9,4.0,3.14
STU1332,13.6,97.6,64.2,72.7,5.2,8.2,3.15
STU1333,8.2,70.7,85.6,57.5,7.1,8.1,2.03
STU1334,6.9,78.2,79.0,77.4,6.8,3.8,2.35
STU1335,11.1,74.5,80.5,79.5,6.3,7.1,2.68
STU1336,6.1,73.1,96.5,73.1,6.9,5.8,2.3
STU1337,8.3,78.7,81.2,74.9,9.0,7.2,2.47
STU1338,12.2,96.3,83.2,68.6,7.6,6.5,3.21
STU1339,15.6,100.0,100.0,91.2,7.8,8.6,3.31
STU1340,13.4,78.6,73.6,60.3,7.6,6.2,2.49
STU1341,2.0,100.0,67.2,64.4,8.3,5.6,2.35
STU1342,12.2,82.4,80.7,72.1,6.6,8.4,3.04
STU1343,11.3,99.5,80.8,83.4,4.7,7.3,3.43
STU1344,12.7,81.1,70.2,52.5,6.6,7.6,2.96
STU1345,17.5,83.3,64.6,55.0,7.6,4.5,2.81
STU1346,2.7,85.7,100.0,45.5,5.8,3.7,2.2
STU1347,8.6,100.0,79.6,72.4,6.6,4.8,2.98
STU1348,13.4,90.5,67.9,57.5,6.1,4.6,3.01
STU1349,4.7,74.9,86.1,67.0,8.3,7.7,2.34
STU1350,16.9,91.7,74.8,80.6,7.5,8.1,3.17
STU1351,12.5,78.4,73.2,63.7,7.5,5.7,2.77
STU1352,14.4,77.1,82.2,75.0,7.4,9.1,3.04
STU1353,8.7,91.1,61.8,68.1,6.8,9.0,2.93
STU1354,14.3,82.3,79.9,80.7,7.0,6.5,2.87
STU1355,15.3,84.8,97.0,78.2,5.6,4.2,3.05
STU1356,11.9,82.1,81.1,63.0,4.6,9.5,2.26
STU1357,11.9,85.4,71.9,69.8,7.0,5.9,2.75
STU1358,12.1,86.2,70.4,85.6,7.1,6.3,2.83
STU1359,7.5,62.6,71.5,77.1,8.0,5.3,1.95
STU1360,10.4,88.7,73.2,53.8,8.4,4.0,2.77
STU1361,10.4,72.2,71.8,80.5,8.4,2.8,2.47
STU1362,12.5,67.6,86.1,57.9,5.8,7.4,2.13
STU1363,15.0,81.4,56.9,90.4,6.4,4.3,3.02
STU1364,6.8,82.8,85.5,85.3,7.3,10.0,2.43
STU1365,10.5,75.1,71.8,75.8,9.0,3.6,2.62
STU1366,16.9,90.3,80.1,74.0,8.3,3.2,3.0
STU1367,8.0,68.6,63.6,69.3,7.9,7.1,2.28
STU1368,7.7,77.9,90.6,80.8,6.4,9.4,2.52
STU1369,11.8,76.2,89.7,67.2,5.9,6.1,2.78
STU1370,14.4,81.5,86.6,75.1,7.6,7.3,3.04
STU1371,11.0,84.8,59.3,83.3,5.7,1.9,2.66
STU1372,16.3,71.9,85.1,64.7,6.6,4.5,2.61
STU1373,14.4,89.2,80.5,64.0,6.7,3.6,2.78
STU1374,14.4,82.6,58.3,56.5,8.4,1.8,2.7
STU1375,13.2,63.1,75.7,58.2,6.4,6.3,2.52
STU1376,20.3,62.4,80.0,48.2,4.4,1.1,2.72
STU1377,10.2,81.9,82.1,81.5,7.3,3.1,2.84
STU1378,3.0,79.8,77.9,95.5,6.1,4.8,2.18
STU1379,17.4,81.0,79.2,90.5,6.8,4.2,3.01
STU1380,9.2,81.7,92.2,50.9,6.7,6.9,2.59
STU1381,11.4,84.3,89.5,81.4,6.5,6.7,2.94
STU1382,16.2,91.5,44.5,90.5,7.6,8.0,3.3
STU1383,4.6,70.9,72.5,66.1,5.3,7.7,2.47
STU1384,6.0,70.3,74.2,73.3,6.3,8.5,2.11
STU1385,4.6,71.1,56.7,45.9,7.5,6.0,2.01
STU1386,7.8,84.9,77.0,75.5,6.2,6.7,2.7
STU1387,12.8,94.4,89.7,58.2,5.2,7.1,3.07
STU1388,13.1,77.7,64.0,74.6,7.5,6.3,2.69
STU1389,12.1,57.0,79.7,51.7,7.9,5.1,2.0
STU1390,5.3,65.0,65.9,79.1,6.8,5.3,1.97
STU1391,2.0,73.7,68.6,85.3,4.8,4.2,1.75
STU1392,11.2,76.4,92.3,61.8,7.5,6.9,2.36
STU1393,9.1,77.9,70.0,57.2,5.1,5.8,2.3
STU1394,12.8,82.4,81.1,44.0,7.1,4.5,2.61
STU1395,13.8,78.9,55.4,68.5,5.9,4.5,2.89
STU1396,11.6,92.5,96.5,64.4,5.6,3.3,3.09
STU1397,14.0,75.2,82.6,51.8,6.4,8.2,2.64
STU1398,11.9,73.4,74.0,77.9,6.6,6.2,2.62
STU1399,13.1,86.8,82.3,66.2,6.2,4.1,2.58
STU1400,8.2,66.6,60.5,58.0,7.4,7.8,2.14
STU1401,10.3,85.9,89.0,64.8,6.4,4.8,2.86
STU1402,11.8,83.0,72.4,85.9,7.8,2.9,2.97
STU1403,14.3,80.5,73.8,79.8,7.1,8.2,2.85
STU1404,9.4,97.9,70.6,70.3,6.1,4.8,3.1
STU1405,13.1,75.8,69.6,80.0,5.9,5.1,2.45
STU1406,9.9,100.0,83.6,56.9,5.2,6.1,2.71
STU1407,10.5,79.7,78.8,72.4,7.1,8.5,2.88
STU1408,14.3,69.2,83.2,73.9,6.4,6.0,3.1
STU1409,3.0,82.7,75.9,65.9,4.4,3.4,2.24
STU1410,5.8,71.2,81.6,77.7,6.3,7.2,2.26
STU1411,5.1,74.5,71.4,61.9,5.9,4.9,1.73
STU1412,2.0,86.0,100.0,78.6,8.4,10.0,1.95
STU1413,8.3,87.6,58.8,79.2,5.1,6.0,2.63
STU1414,14.0,75.8,89.9,35.0,5.4,1.1,2.62
STU1415,9.9,91.9,91.0,87.5,7.9,6.8,2.72
STU1416,11.8,93.6,66.6,35.0,8.2,10.0,2.94
STU1417,15.4,96.4,100.0,64.0,6.1,9.5,3.4
STU1418,16.3,87.3,87.0,85.3,6.2,10.0,3.49
STU1419,10.7,95.6,86.7,67.9,7.4,3.8,3.01
STU1420,16.4,63.2,76.3,52.9,4.5,8.0,2.93
STU1421,11.4,78.8,73.6,57.8,4.9,4.4,2.62
